evid;origin;longitude;latitude;depth;magnitude;magnitudet;region;author;mode
usp2020rbbt;2020-08-30T12:08:14.84Z;-39.603;-13.012;0.0;2.3;mR;"Amargosa/BA";jroberto;M
usp2020rbbk;2020-08-30T11:57:09.699Z;-39.606;-13.005;0.0;2.8;mR;"Amargosa/BA";jroberto;M
usp2020rbaj;2020-08-30T11:25:15.731Z;-39.598;-13.007;0.0;2.7;mR;"Amargosa/BA";jroberto;M
usp2020rbac;2020-08-30T11:18:07.108Z;-39.584;-13.002;0.0;3.7;mR;"Amargosa/BA";jroberto;M
usp2020raza;2020-08-30T10:44:28.42Z;-39.595;-13.011;0.0;4.2;mR;"Amargosa/BA";jroberto;M
usp2020rayz;2020-08-30T10:43:44.0Z;-39.577;-13.000;0.0;2.5;mR;"Amargosa/BA";jroberto;M
usp2020qysx;2020-08-29T05:23:29.30Z;-36.096;-5.541;0.0;2.2;mR;"Pedra Preta/RN";jroberto;M
usp2020qvnb;2020-08-27T11:01:22.846Z;-36.026;-8.257;0.0;1.6;mR;"Caruaru/PE";jroberto;M
usp2020qvds;2020-08-27T06:18:51.77Z;-36.024;-8.258;0.0;1.6;mR;"Caruaru/PE";jroberto;M
usp2020qvde;2020-08-27T06:01:52.868Z;-36.021;-8.258;0.0;1.9;mR;"Caruaru/PE";jroberto;M
usp2020qtza;2020-08-26T14:47:43.0Z;-39.458;-3.912;0.0;1.9;mR;"Apuiares/CE";jroberto;M
usp2020qtju;2020-08-26T07:06:44.123Z;-40.469;-3.653;0.0;2.0;MLv;"Alcantaras/CE";jroberto;M
usp2020qpgq;2020-08-24T00:57:40.896Z;-40.423;-3.897;0.0;2.0;mR;"Groairas/CE";jroberto;M
usp2020qobx;2020-08-23T09:26:57.92Z;-36.021;-8.259;0.0;1.6;mR;"Caruaru/PE";jroberto;M
usp2020qlqm;2020-08-22T01:23:44.0Z;-50.882;-29.379;0.0;0.8;MLv;"Gramado/RS";marcelo;M
usp2020qhsl;2020-08-19T21:51:02.926Z;-38.979;-12.601;0.0;1.6;mR;"Sao Felix/BA";jroberto;M
usp2020qgjg;2020-08-19T04:03:24.185Z;-53.838;-14.489;0.0;2.0;mR;"Alto Garcas/MT";jroberto;M
usp2020qdcf;2020-08-17T09:06:11.0Z;-39.751;-3.756;0.0;1.8;mR;"Iraucuba/CE";jroberto;M
usp2020qcoz;2020-08-17T02:24:48.317Z;-36.058;-5.505;0.0;1.8;mR;"Pedra Preta/RN";jroberto;M
usp2020putj;2020-08-12T19:32:57.212Z;-35.993;-5.896;0.0;1.7;MLv;"Ruy Barbosa/RN";jroberto;M
usp2020pugk;2020-08-12T12:59:26.80Z;-35.984;-5.873;0.0;1.6;MLv;"Ruy Barbosa/RN";jroberto;M
usp2020pnon;2020-08-08T21:07:08.72Z;-43.720;-20.263;0.0;2.7;mR;"Itabirito/MG";bruno;M
usp2020plyf;2020-08-07T23:45:47.863Z;-46.698;-19.335;0.0;2.3;mR;"Ibia/MG";jroberto;M
usp2020plua;2020-08-07T21:39:00.536Z;-43.724;-20.270;0.0;2.7;mR;"Itabirito/MG";bruno;M
usp2020pkkw;2020-08-07T03:53:25.524Z;-43.767;-20.255;0.0;2.1;mR;"Itabirito/MG";bruno;M
usp2020piai;2020-08-05T20:17:28.857Z;-35.839;-8.574;0.0;1.8;mR;"Belém de Maria/PE";jroberto;M
usp2020pfyl;2020-08-04T17:03:41.672Z;-36.305;-8.673;0.0;2.0;mR;"Lajedo/PE";jroberto;M
usp2020pazn;2020-08-01T23:55:24.959Z;-40.074;-15.153;0.0;1.9;MLv;"Itororo/BA";jroberto;M
